	May2020	Jun2020	Jul2020	Aug2020	Sep2020	Oct2020	Nov2020	Dec2020	Jan2021	Feb2021	Mar2021	Apr2021	May2021	Jun2021	Jul2021	Aug2021	Sep2021	Oct2021
AFG001	4.5	4.5	4.5	4.5	4.6	4.6	4.6	4.6	4.6	4.6	4.6	4.6	4.6	4.7	4.7	4.7	4.7	4.7
BDI001	3.2	3.3	3.3	3.3	3.3	3.4	3.3	3.3	3.3	3.3	3.8	3.8	3.8	3.8	3.9	3.9	3.9	3.9
BFA002	3.4	3.9	3.9	3.9	3.9	3.8	3.9	4.0	3.9	3.9	3.9	3.9	3.9	3.9	4.1	4.1	4.1	4.1
BGD002	3.2	3.3	3.3	3.3	3.3	3.3	3.3	3.3	3.2	3.2	3.2	3.2	3.2	3.2	3.3	3.3	3.2	3.2
BGD004	3.2	3.1	3.3	3.3	3.3	3.3	3.3	3.3	3.3	3.3	3.3	3.3	3.3	3.3	3.3	3.3	3.3	3.3
BRA002	2.2	2.2	2.2	2.2	2.3	2.3	2.4	2.4	2.5	2.5	2.5	2.5	2.5	2.5	2.6	2.6	2.6	2.6
CAF001	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.1	4.1	4.1	4.2	4.3	4.3	4.3	4.3
CMR001	3.5	3.6	3.6	3.6	3.6	3.6	3.7	3.7	3.7	3.7	3.7	3.7	4.1	4.1	4.2	4.2	4.2	4.2
CMR002	3.6	3.6	3.6	3.1	3.1	3.1	3.2	3.2	3.2	3.2	3.2	3.2	3.2	3.3	3.4	3.4	3.4	3.7
CMR003	3.1	3.1	3.1	3.3	3.3	3.3	3.4	3.4	3.3	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.4
CMR004	2.5	2.6	2.6	2.6	2.5	2.5	2.6	2.6	2.8	2.8	2.8	2.8	2.8	2.8	3.0	3.0	3.0	3.0
COD001	4.2	4.2	4.2	4.2	4.2	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.6	4.6	4.6	4.6
COG002	1.8	1.7	1.7	1.7	1.6	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2
COL001	4.2	4.2	4.2	4.2	4.2	4.2	4.1	3.9	3.9	3.9	3.9	3.9	3.7	3.7	3.8	3.8	4.5	4.5
COL002	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.5	3.5	3.6	3.6
CRI002	1.0	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2
DJI001	2.9	2.9	2.9	2.9	2.9	2.9	3.0	3.0	3.0	2.7	2.7	2.7	2.7	2.7	2.6	2.6	2.8	2.8
DJI002	1.4	1.4	1.4	1.4	1.5	1.5	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8
DJI003	2.8	2.8	2.8	2.8	2.9	2.9	3.1	3.1	3.1	2.8	2.8	2.8	2.8	2.8	2.5	2.5	2.7	2.7
DJI004	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3
DZA003	2.2	2.2	2.2	2.2	2.2	2.2	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.2	2.3	2.3	2.3	2.3
ECU002	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.3	2.3	2.3	2.3	2.3	2.3	2.4	2.4	2.4	2.4
EGY002	2.1	2.2	2.2	2.2	2.2	2.2	2.4	2.4	3.1	3.1	2.9	2.4	2.4	2.4	2.5	2.5	2.5	2.5
ERI001	3.8	3.8	3.8	3.8	3.8	3.8	3.7	3.7	3.7	3.7	3.7	3.7	3.7	3.7	3.8	3.8	3.8	3.8
ETH001	4.0	4.0	4.0	4.0	4.0	4.0	4.1	4.1	4.1	4.1	4.5	4.5	4.5	4.6	4.8	4.8	4.8	4.8
GRC002	2.0	2.1	2.2	1.9	1.9	1.9	1.8	1.8	1.8	1.6	1.6	1.5	1.5	1.6	1.7	1.7	1.7	1.7
GTM001	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.5	3.5	3.5	3.5
HND001	3.3	3.3	3.3	3.3	3.3	3.2	3.3	3.3	3.3	3.3	3.3	3.3	3.3	3.3	3.4	3.4	3.4	3.4
HTI001	3.5	3.5	3.5	3.5	3.4	3.5	3.5	3.5	3.5	3.5	3.8	3.8	3.8	3.8	3.9	3.6	3.6	3.6
IRN004	3.4	3.5	3.5	3.5	3.5	3.5	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.3	3.4	3.4	3.4	3.4
IRQ001	3.9	4.0	4.0	4.0	4.0	4.0	4.0	4.0	3.9	3.9	4.2	4.2	4.2	4.2	4.3	4.3	4.3	4.3
IRQ002	4.0	4.1	4.1	4.1	4.1	4.1	4.1	4.1	4.1	4.2	4.4	4.4	4.4	4.4	4.6	4.6	4.6	4.6
IRQ003	2.9	2.9	2.9	2.9	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	3.0	3.0	3.0	3.0
JOR002	2.6	2.7	2.7	2.7	2.7	2.7	2.8	2.7	3.1	3.1	3.1	3.1	3.1	2.9	2.9	2.9	2.9	2.9
KEN001	3.4	3.5	3.1	3.1	3.1	3.1	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.2	3.2
KEN002	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	3.0	3.0	2.7	2.7
KEN003	3.4	3.4	3.0	3.0	2.9	2.9	3.0	2.9	2.9	2.9	2.9	2.9	2.9	2.9	2.9	2.9	3.0	3.0
KEN005	1.7	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2
LBN002	2.9	3.2	3.1	3.2	3.2	3.2	3.2	3.2	3.4	3.4	3.5	3.5	3.5	3.5	3.6	3.4	3.4	3.4
LBN004	3.3	3.3	3.3	3.4	3.5	3.5	3.5	3.5	3.5	3.6	3.7	3.7	3.7	3.7	3.7	3.6	3.6	3.6
LBY001	4.2	4.2	4.2	4.2	4.1	4.1	4.2	4.2	4.2	4.2	4.0	4.0	4.0	3.8	3.9	3.9	3.9	3.9
LBY002	3.1	3.1	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.6	2.6	2.6	2.5	2.7	3.1	3.1	3.1
LSO002	2.4	2.4	2.4	2.4	2.3	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.0	2.0
MDG002	2.6	2.6	2.6	2.6	2.6	2.5	2.5	2.5	3.0	3.0	3.0	3.0	3.1	3.1	2.8	2.8	2.8	2.8
MDG004	1.3	1.3	1.3	1.3	1.3	1.3	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1
MDG005	2.5	2.6	2.6	2.6	2.6	2.6	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
MLI001	3.8	3.8	3.8	3.8	3.8	3.8	3.8	3.8	3.8	3.8	4.1	4.1	4.1	4.3	4.4	4.4	4.4	4.4
MMR001	3.6	3.6	3.6	3.5	3.5	3.5	3.5	3.5	3.5	3.7	3.7	3.7	3.7	3.7	4.0	4.0	4.0	4.0
MMR002	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.6	3.7	3.7	3.7	3.7
MMR003	2.6	2.6	2.6	2.6	2.6	2.6	2.6	2.6	2.6	3.1	3.1	3.1	3.1	3.2	3.3	3.3	3.3	3.3
MOZ001	3.2	3.2	3.0	3.0	3.0	3.2	3.3	3.3	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.6
MOZ004	2.6	2.6	2.8	2.9	2.9	2.9	2.1	2.1	3.5	3.5	3.5	3.5	3.5	3.6	3.5	3.5	3.5	3.5
MOZ006	3.2	3.2	3.2	3.2	3.2	2.8	3.0	3.0	3.4	3.4	3.4	3.4	3.4	3.5	3.5	3.5	3.5	3.5
MRT002	2.3	2.3	2.3	2.3	2.3	2.3	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.3	2.1	2.1	2.1
MRT003	2.6	2.7	2.7	3.0	2.9	2.9	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.9	2.9	2.9	2.9
MWI002	2.6	2.7	2.7	2.6	2.6	2.7	2.8	2.8	2.8	2.8	2.8	2.8	2.9	2.9	3.0	3.0	2.8	2.8
NAM002	2.1	2.1	2.1	2.1	2.1	2.0	2.1	2.1	2.1	2.1	2.1	2.1	2.1	2.1	2.3	2.3	2.3	2.3
NER001	3.6	3.6	3.7	3.7	3.7	3.8	3.7	3.7	3.7	3.7	3.7	3.7	3.7	3.8	3.9	3.9	3.9	3.9
NER002	3.4	3.4	3.5	3.5	3.4	3.4	3.4	3.4	2.9	2.9	2.9	2.9	2.9	3.0	3.1	3.1	3.1	3.1
NER003	3.2	3.2	3.3	3.2	3.2	3.2	3.2	3.2	3.2	3.2	3.2	3.2	3.2	3.3	3.4	3.4	3.4	3.4
NER004	2.5	2.6	2.5	2.5	2.5	2.5	2.4	2.5	2.7	2.7	2.7	2.7	2.7	2.7	2.8	2.8	2.8	2.8
NGA001	4.1	4.2	4.2	4.2	4.2	4.2	4.0	4.0	4.0	4.1	4.1	4.1	4.1	4.1	4.2	4.3	4.3	4.3
NGA004	4.0	4.1	4.1	4.1	4.1	4.0	4.1	4.1	4.1	4.0	4.1	4.1	4.1	4.1	4.2	4.3	4.3	4.3
NGA007	2.6	2.6	2.6	2.6	2.6	2.6	2.6	2.6	2.6	2.6	2.7	2.7	2.7	2.9	3.0	3.9	3.9	3.9
NGA008	2.5	2.1	2.1	2.1	2.1	2.0	2.1	2.1	2.1	2.1	2.1	2.1	2.1	2.0	2.1	2.1	2.1	2.1
PAK001	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.8	3.8	3.9	3.9	3.9	3.9
PER002	2.6	2.6	2.6	2.6	2.6	2.6	2.7	2.7	2.8	2.8	2.8	2.8	2.8	2.8	2.9	2.9	2.9	2.9
PHL001	2.4	2.5	2.5	2.5	2.5	2.4	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
PHL003	2.2	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.4	2.4	2.4	2.4	2.5	2.5	2.4	2.4
PHL004	2.1	2.1	2.1	2.0	2.0	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8
PRK001	4.0	4.0	4.0	4.0	4.0	4.0	3.7	3.7	3.7	3.7	3.8	3.8	3.8	3.8	3.8	3.8	3.8	3.8
PSE002	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.9	4.0	4.0	4.0	4.0	4.2	4.3	4.3	4.3	4.3
