	data_collection_round	Marital status - Head of Household	single_headed_household	Number household member boy under5 years old	Number household member _girl_under5 years old	Number household member boy_5_17 years old	household_girl_5_17	number adult household members years old	Total household number	diarrhea_under_5	house_type	Households use bottled water as drinking water source	Household treating water	Improvedsanitationfacility	Mentionedafterdefecating	Mentionedbeforeeating	Mentionedbeforeeatingafterdefecating	Mentionedbeforefeedingchild	handwashingfull	Household praticing open defecation	Frequency respondant report handwhashing a day	Improved water source
0	Baseline	Widowed	Yes	1	1	2	2	4	10	No	Concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Unimproved water source
1	Baseline	Married	No	0	0	1	0	1	2	No	Timber frame	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
2	Baseline	Married	No	0	1	1	1	3	6	No	Timber frame	Other source	Yes	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
3	Baseline	Married	No	0	0	0	0	2	2	Yes	Timber frame	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
4	Baseline	Married	No	0	0	3	1	5	9	No	Concrete	Bottled water	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
5	Baseline	Married	No	0	0	1	0	3	4	No	Timber and concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
6	Baseline	Married	No	0	0	1	1	2	4	Yes	Timber frame	Other source	Yes	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
7	Baseline	Married	No	0	0	1	1	2	4	No	Timber frame	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
8	Baseline	Married	No	0	0	0	0	3	3	No	Timber frame	Other source	No	Unimproved toilet facility	Yes	Yes	Yes	Yes	Handwashing facility with Water & Soap	Open defecation	7 times and more	Improved water source
9	Baseline	Married	No	1	1	1	1	2	6	No	Makeshift shelter	Other source	Yes	Unimproved toilet facility	Yes	Yes	Yes	Yes	Handwashing facility with Water & Soap	Open defecation	7 times and more	Improved water source
10	Baseline	Widowed	Yes	0	1	0	0	2	3	No	Hut	Other source	Yes	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	7 times and more	Improved water source
11	Baseline	Married	No	0	0	3	0	2	5	No	Timber frame	Bottled water	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
12	Baseline	Married	No	0	0	1	2	3	6	No	Timber frame	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
13	Baseline	Married	No	0	0	0	3	1	4	No	Timber frame	Bottled water	No	Improved toilet facility	No	No	No	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
14	Baseline	Married	No	0	0	0	0	3	3	No	Hut	Other source	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	7 times and more	Improved water source
15	Baseline	Seperated_above_18_acting_as_caregiver_	Yes	0	0	1	7	2	10	No	Hut	Other source	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water without Soap	Open defecation	7 times and more	Improved water source
16	Baseline	Married	No	0	0	1	2	3	6	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	No Handwashing facility	No open defecation	5 - 6 times	Improved water source
17	Baseline	Married	No	0	0	1	1	4	6	No	Concrete	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
