crisis_id	month	INFORM Severity Index	Last updated	Total population	Landmass affected	People exposed	People affected	People displaced	Injuries reported	Illness cases reported	Fatalities reported	Buildings damaged	Buildings destroyed	Economic Losses	People in Need	Minimal humanitarian conditions - Level 1	Stressed humanitarian conditions - Level 2	Moderate humanitarian conditions - Level 3	Severe humanitarian conditions - Level 4	Extreme humanitarian conditions - Level 5	Fatalities in all crises	Crisis affected groups
AFG001	May2020	4.5	2020-05-25	35700000.0	652867.0	35700000.0	35700000.0	4254000.0			12935.0			13114.0	9380000.0	0.0	26320000.0	7000000.0	2380000.0	0.0	12935.0	5.0
BDI001	May2020	3.2	2020-05-28	11400000.0	25950.0	1740000.0	592000.0	450000.0		70187.0	74.0			444.0	261000.0	1148000.0	331000.0	174000.0	87000.0	0.0	74.0	5.0
BFA002	May2020	3.4	2020-03-22	21508000.0	166000.0	11357000.0	7177000.0	796000.0			735.0				949000.0	4180000.0	6228000.0	355000.0	594000.0	0.0	735.0	4.0
BGD002	May2020	3.2	2020-05-27	143232000.0	650.0	1326000.0	1326000.0	855000.0	37140.0	141302.0	3.0				854000.0	0.0	472000.0	647000.0	207000.0	0.0	3.0	3.0
BGD004	May2020	3.2	2020-05-01	143230000.0	68430.0	59755000.0	8983000.0	1219000.0	37909.0	656921.0	349.0				3006000.0	52155000.0	5977000.0	2714000.0	273000.0	19000.0	349.0	3.0
BRA002	May2020	2.2	2020-05-29	210147000.0	224274.0	830000.0	623000.0	224000.0			0.0				224000.0	207000.0	399000.0	224000.0	0.0	0.0	0.0	2.0
CAF001	May2020	4.0	2020-03-30	4900000.0	623000.0	4900000.0	4900000.0	1648000.0			316.0				2600000.0	0.0	2300000.0	900000.0	1700000.0	0.0	316.0	5.0
CMR001	May2020	3.5	2020-05-28	25932000.0	283816.0	10686000.0	4131000.0	1442000.0	150.0		849.0				1474000.0	6555000.0	2636000.0	1302000.0	172000.0	0.0	649.0	5.0
CMR002	May2020	3.6	2020-05-28	25932000.0	34263.0	4378000.0	1323000.0	412000.0			325.0			5.2	1852000.0	0.0	1479000.0	709000.0	1143000.0	0.0	849.0	5.0
CMR003	May2020	3.1	2020-05-28	25932000.0	76850.0	4359000.0	1514000.0	739000.0			504.0				272000.0	1656000.0	0.0	272000.0	0.0	0.0	849.0	4.0
CMR004	May2020	2.5	2020-05-28	25932000.0	172703.0	1950000.0	294000.0	294000.0	0.0		0.0	0.0	0.0		294000.0	1656000.0	0.0	294000.0	0.0	0.0	849.0	3.0
COD001	May2020	4.2	2020-05-26	98959000.0	2344860.0	98959000.0	43245000.0	7441000.0			1703.0			1700.0	15879000.0	42316000.0	44844000.0	11836000.0	4043000.0	0.0	1703.0	5.0
COG002	May2020	1.8	2020-05-01	5308000.0	34000.0	300000.0	160000.0	134000.0			2.0		105.0	334.0	11000.0	140000.0	46000.0	11000.0	0.0	0.0	2.0	4.0
COL001	May2020	4.2	2020-05-29	48300000.0	1142000.0	48300000.0	13400000.0	3538000.0							8869000.0	0.0	4900000.0	6367000.0	2502000.0	0.0		5.0
COL002	May2020	3.4	2020-05-29	48300000.0	135000.0	26910000.0	2886000.0	2886000.0							3371000.0	23539000.0	0.0	2871000.0	500000.0	0.0		3.0
CRI002	May2020	1.0	2020-05-01	5135000.0	4966.0	1726000.0	77000.0	77000.0	0.0	0.0	0.0	0.0	0.0	0.0	39000.0	1649000.0	39000.0	39000.0	0.0	0.0	0.0	2.0
DJI001	May2020	2.9	2019-12-17	1011000.0	23244.0	1011000.0	639000.0				10.0				310000.0	372000.0	329000.0	203000.0	107000.0	0.0	10.0	5.0
DJI002	May2020	1.4	2019-12-17	1011000.0	23244.0	1011000.0	30000.0	30000.0			0.0	0.0	0.0	0.0	30000.0	981000.0	0.0	30000.0	0.0	0.0	10.0	2.0
DJI003	May2020	2.8	2019-12-17	1011000.0	23244.0	1011000.0	639000.0		0.0		0.0	0.0	0.0		310000.0	372000.0	329000.0	203000.0	107000.0	0.0	10.0	5.0
DJI004	May2020	2.3	2020-05-19	1011000.0	16000.0	916000.0	250000.0				10.0				148000.0	666000.0	102000.0	148000.0	0.0	0.0	10.0	4.0
DZA003	May2020	2.2	2020-05-26	43100000.0	159000.0	223000.0	174000.0	174000.0			0.0				90000.0	49000.0	84000.0	90000.0	0.0	0.0	124.0	1.0
ECU002	May2020	2.4	2020-05-29	14850000.0	3449.0	4817000.0	576000.0	367000.0			2.0				576000.0	4241000.0	0.0	576000.0	0.0	0.0	2.0	2.0
EGY002	May2020	2.1	2020-05-26	100388000.0	91071.77	21872000.0	3154000.0	500000.0			0.0				120000.0	18721000.0	3030000.0	34000.0	86000.0	0.0	0.0	2.0
ERI001	May2020	3.8	2020-05-25	3227000.0	121100.0	3227000.0	3227000.0	300000.0							2582000.0	645000.0	0.0	2582000.0	0.0	0.0		5.0
ETH001	May2020	4.0	2020-05-28	109945000.0	1104300.0	29225000.0	18770000.0	2523000.0			151.0				8474000.0	10455000.0	10296000.0	6497000.0	1977000.0	0.0	151.0	4.0
GRC002	May2020	2.0	2020-05-29	10878000.0	3364.07	332000.0	118000.0	118000.0	0.0		27.0				41000.0	214000.0	77000.0	41000.0	0.0	0.0	27.0	2.0
GTM001	May2020	3.4	2020-05-29	17248000.0	109000.0	17248000.0	3820000.0			11971.0	1832.0	0.0	0.0		1324000.0	13428000.0	2496000.0	1098000.0	226000.0	0.0	1917.0	3.0
HND001	May2020	3.3	2020-05-29	9158000.0	112490.0	9158000.0	3066000.0	247000.0	75122.0	34858.0	2078.0			12965.0	1221000.0	6092000.0	1844000.0	963000.0	258000.0	0.0	2078.0	3.0
HTI001	May2020	3.5	2020-05-01	11123000.0	27166.0	11123000.0	6913000.0	42000.0			142.0				4101000.0	4223000.0	2799000.0	2898000.0	1203000.0	0.0	142.0	2.0
IRN004	May2020	3.4	2020-05-25	82926000.0	239561.0	24823000.0	2951000.0	2951000.0			0.0				2951000.0	21872000.0	0.0	951000.0	2000000.0	0.0	0.0	2.0
IRQ001	May2020	3.9	2020-05-26	38434000.0	435052.0	38434000.0	5871000.0	6944000.0			1674.0			133900.0	4293000.0	10062000.0	1578000.0	2398000.0	1895000.0	0.0	1674.0	5.0
IRQ002	May2020	4.0	2020-05-26	38434000.0	435052.0	11000000.0	5624000.0	6697000.0			1148.0			133900.0	4046000.0	5376000.0	1578000.0	2271000.0	1775000.0	0.0	1550.0	5.0
IRQ003	May2020	2.9	2020-05-26	38434000.0	40000.0	5140000.0	455000.0	247000.0			5.0		0.0		454000.0	4685000.0	0.0	334000.0	120000.0	0.0	1674.0	5.0
JOR002	May2020	2.6	2020-05-26	10554000.0	40463.0	8505000.0	1317000.0	1317000.0			0.0				639000.0	7187000.0	678000.0	278000.0	361000.0	0.0	0.0	2.0
KEN001	May2020	3.4	2020-05-25	51884000.0	581309.29	51884000.0	9968000.0	527000.0	0.0	113000.0	29.0	0.0	0.0		3587000.0	41916000.0	6381000.0	3230000.0	357000.0	0.0	29.0	3.0
KEN002	May2020	2.8	2020-05-25	51879000.0	123000.0	5212000.0	491000.0	491000.0	0.0			0.0	0.0		491000.0	4721000.0	0.0	491000.0	0.0	0.0	29.0	2.0
KEN003	May2020	3.4	2020-05-25	51879000.0	581309.29	51879000.0	9468000.0		0.0	113000.0		0.0	0.0		3096000.0	42763000.0	6016000.0	2739000.0	357000.0	0.0	29.0	3.0
KEN005	May2020	1.7	2020-05-25	51884000.0	75440.0	7992000.0	36000.0	36000.0			29.0				36000.0	7956000.0	0.0	36000.0	0.0	0.0	29.0	
LBN002	May2020	2.9	2020-05-26	6849000.0	10201.2	6849000.0	1529000.0	1529000.0	0.0		2.0				983000.0	4554000.0	546000.0	790000.0	193000.0	0.0	4.0	2.0
LBN004	May2020	3.3	2020-05-25	6849000.0	10201.2	6849000.0	3056000.0		1270.0		4.0				2311000.0	3793000.0	745000.0	1042000.0	1269000.0	0.0	4.0	3.0
LBY001	May2020	4.2	2020-05-26	6871000.0	1759540.0	6871000.0	1800000.0	1497000.0			1399.0				1026000.0	5071000.0	774000.0	108000.0	558000.0	360000.0	1399.0	5.0
LBY002	May2020	3.1	2020-05-26	6871000.0	1759540.0	6871000.0	654000.0	654000.0			648.0				342000.0	6217000.0	312000.0	208000.0	131000.0	3000.0	1399.0	2.0
LSO002	May2020	2.4	2020-03-26	2263000.0	30400.0	1453000.0	986000.0	1382000.0	0.0	0.0	0.0	0.0	0.0		434000.0	1277000.0	533000.0	362000.0	72000.0	0.0	0.0	1.0
MDG002	May2020	2.6	2020-05-28	26700000.0	149752.0	2276000.0	1604000.0	2078000.0	0.0						554000.0	672000.0	1050000.0	527000.0	27000.0	0.0	152.0	1.0
MDG004	May2020	1.3	2020-02-13	26700000.0	76177.0	4345000.0	117000.0	16000.0	0.0	0.0	170.0				0.0	4228000.0	117000.0	0.0	0.0	0.0	170.0	2.0
MDG005	May2020	2.5	2020-05-28	26700000.0	76177.0	6621000.0	1732000.0	16000.0	0.0	0.0	152.0				682000.0	4889000.0	1050000.0	655000.0	27000.0	0.0	152.0	2.0
MLI001	May2020	3.8	2020-05-26	19303000.0	1240200.0	19303000.0	8700000.0	361000.0		44056.0	1124.0				3900000.0	10606000.0	4800000.0	3463000.0	437000.0	0.0	1124.0	5.0
MMR001	May2020	3.6	2020-05-25	52206000.0	289700.0	10395000.0	5124000.0	1267000.0			491.0				975000.0	5271000.0	4149000.0	364000.0	611000.0	0.0	491.0	3.0
MMR002	May2020	3.5	2020-05-25	52206000.0	44857.0	3882000.0	1563000.0	1160000.0			415.0				754000.0	2318000.0	809000.0	250000.0	504000.0	0.0	491.0	4.0
MMR003	May2020	2.6	2020-05-25	52206000.0	244843.1	6513000.0	3560000.0	107000.0			76.0				220000.0	2953000.0	3340000.0	113000.0	107000.0	0.0	491.0	3.0
MOZ001	May2020	3.2	2020-05-28	28862000.0	344602.0	7317000.0	3446000.0	237000.0	26.0	277460.0	364.0	147000.0	143000.0	773.0	1846000.0	3871000.0	1601000.0	1581000.0	265000.0	0.0	364.0	3.0
MOZ004	May2020	2.6	2020-05-28	28860000.0	78778.0	2333000.0	156000.0	156000.0		0.0	323.0				156000.0	2177000.0	0.0	156000.0	0.0	0.0	364.0	2.0
MOZ006	May2020	3.2	2020-05-28	28862000.0	344602.0	4984000.0	3290000.0	81000.0	0.0	0.0					1687000.0	1694000.0	1601000.0	1422000.0	265000.0	0.0	364.0	3.0
MRT002	May2020	2.3	2020-05-29	4140000.0	75.0	67000.0	59000.0	59000.0	0.0			0.0	0.0		57000.0	11000.0		57000.0				2.0
MRT003	May2020	2.6	2020-05-29	4140000.0	1054234.0	4140000.0	1017000.0	0.0							359000.0	3217000.0	657000.0	331000.0	28000.0	0.0		3.0
MWI002	May2020	2.6	2020-05-28	14746000.0	94276.0	14734000.0	6194000.0	0.0	0.0	0.0	22.0				1879000.0	8540000.0	4315000.0	1840000.0	39000.0	0.0	18.0	1.0
NAM002	May2020	2.1	2020-05-26	2448000.0	823.0	2424000.0	1280000.0	0.0	0.0	0.0	2.0				430000.0	1140000.0	850000.0	430000.0	0.0	0.0	2.0	1.0
NER001	May2020	3.6	2020-05-29	22443000.0	1267000.0	22443000.0	2300000.0	260000.0			729.0				2208000.0	19352000.0	108000.0	1747000.0	461000.0	0.0	729.0	5.0
NER002	May2020	3.4	2020-05-29	22443000.0	156906.0	738000.0	728000.0	141000.0	141012.0		130.0				518000.0	0.0	220000.0	257000.0	261000.0	0.0	729.0	5.0
NER003	May2020	3.2	2020-05-29	22443000.0	210600.0	7800000.0	965000.0	97000.0			577.0				965000.0	6835000.0	0.0	834000.0	131000.0	0.0	729.0	5.0
NER004	May2020	2.5	2020-05-29	22443000.0	4929.0	605000.0	72000.0	42000.0			13.0	0.0	0.0	0.0	72000.0	605000.0	0.0	30000.0	42000.0	0.0	729.0	2.0
NGA001	May2020	4.1	2020-05-28	195679000.0	909890.0	56258000.0	7850000.0	2581000.0			2246.0		4300.0		5915000.0	48408000.0	1936000.0	3031000.0	2884000.0	0.0	2246.0	5.0
NGA004	May2020	4.0	2020-05-28	195679000.0	157918.0	7900000.0	7150000.0	2207000.0			1441.0		4300.0		5215000.0	751000.0	1936000.0	2331000.0	2884000.0	0.0	2246.0	4.0
NGA007	May2020	2.6	2020-05-28	195679000.0	237708.0	30401000.0	342000.0	342000.0			805.0	500.0	10500.0	49.0	342000.0	30058000.0	0.0	342000.0	0.0	0.0	2246.0	5.0
NGA008	May2020	2.5	2020-05-28	195679000.0	115769.0	17657000.0	58000.0	58000.0			504.0				58000.0	17599000.0	0.0	58000.0	0.0	0.0	2246.0	2139.0
PAK001	May2020	3.4	2020-05-25	209594000.0	881913.0	209594000.0	50099000.0	204000.0			510.0				3039000.0	159495000.0	47060000.0	2021000.0	1018000.0	0.0	510.0	5.0
PER002	May2020	2.6	2020-05-29	31989000.0	178440.0	16328000.0	1129000.0	861000.0			2.0	0.0	0.0		885000.0	15443000.0	0.0	885000.0	0.0	0.0	2.0	2.0
PHL001	May2020	2.4	2020-05-25	100979000.0	138354.0	24136000.0	503000.0	304000.0			267.0				304000.0	23633000.0	199000.0	304000.0	0.0	0.0	267.0	4.0
PHL003	May2020	2.2	2020-05-25	100979000.0	138354.0	24136000.0	147000.0	147000.0			244.0				147000.0	23989000.0	0.0	147000.0	0.0	0.0	267.0	4.0
PHL004	May2020	2.1	2020-05-25	100979000.0	138354.0	10134000.0	356000.0	157000.0	563.0		23.0	21681.0	25795.0		157000.0	9778000.0	199000.0	157000.0	0.0	0.0	267.0	3.0
PRK001	May2020	4.0	2020-05-22	25550000.0	120410.0	25550000.0	25550000.0								10429000.0	0.0	15120000.0	4970000.0	5459000.0	0.0		1.0
PSE002	May2020	3.9	2020-05-26	4950000.0	6311.0	4950000.0	4950000.0	6287000.0	3284.0		57.0	160000.0	11422.0		2500000.0	0.0	2450000.0	900000.0	1600000.0	0.0	57.0	4.0
REG001	May2020	4.1	2020-05-28	244071000.0	369002.0	13702000.0	9897000.0	2955000.0			2093.0	0.0	4300.0	5200000.0	6332000.0	3805000.0	3565000.0	2900000.0	3310000.0	122000.0	4124.0	5.0
REG002	May2020	3.6	2020-05-29	334437000.0	1458646.0	78195000.0	34571000.0	5094000.0				0.0	0.0		19299000.0	44959000.0	14161000.0	18799000.0	500000.0	0.0		4.0
REG004	May2020	4.2	2020-05-27	250057000.0	426174.2	89044000.0	24974000.0	12929000.0			7325.0				15868000.0	63303000.0	8080000.0	5188000.0	9441000.0	1239000.0	7325.0	5.0
REG011	May2020	3.7	2020-05-27	196716000.0	45507.0	5208000.0	2890000.0	1084000.0			362.0				1609000.0	2318000.0	1281000.0	898000.0	711000.0	0.0	424.0	4.0
REG012	May2020	3.6	2020-05-28	108049000.0	1825892.0	45719000.0	25585000.0	21000.0	0.0	0.0	236.0	0.0	0.0	0.0	11809000.0	19554000.0	14642000.0	9903000.0	1906000.0	0.0	673.0	5.0
RWA002	May2020	1.8	2020-05-28	9661000.0	10646.0	4722000.0	146000.0	146000.0			11.0	0.0	0.0	0.0	146000.0	2576000.0	0.0	146000.0	0.0	0.0	11.0	2.0
SDN001	May2020	4.6	2020-05-25	43000000.0	1840687.0	43000000.0	18700000.0	3200000.0			324.0				9300000.0	24300000.0	9400000.0	4400000.0	1000000.0	3900000.0	324.0	5.0
SDN005	May2020	3.8	2020-05-25	43000000.0	15000.0	1326000.0	1326000.0	1100000.0							1100000.0	0.0	226000.0	400000.0	500000.0	200000.0	324.0	2.0
SEN002	May2020	2.5	2020-05-26	15836000.0	196722.0	12808000.0	12798000.0		0.0	0.0	0.0	0.0	0.0		359000.0	10643000.0	1806000.0	348000.0	11000.0	0.0	0.0	4.0
SLV001	May2020	2.7	2020-05-29	6421000.0	21040.0	6421000.0	775000.0	261000.0		6485.0	815.0				302000.0	5458000.0	473000.0	239000.0	63000.0	0.0	815.0	3.0
SOM001	May2020	4.7	2020-05-26	12300000.0	627340.0	12300000.0	12300000.0	2819000.0			1771.0				5300000.0	0.0	7000000.0	2160000.0	2400000.0	740000.0	1771.0	5.0
SOM002	May2020	2.0	2020-05-26	12328000.0	28220.0	1261000.0	34000.0	34000.0			15.0	0.0	0.0	0.0	34000.0	1227000.0	0.0	22000.0	12000.0	0.0	1771.0	2.0
SOM004	May2020	2.4	2020-05-26	12300000.0	456822.0	3350000.0	124000.0	100000.0			6.0				100000.0	3226000.0	24000.0	100000.0	0.0	0.0	1771.0	3.0
SSD001	May2020	4.3	2020-05-25	11685000.0	644000.0	11685000.0	11685000.0	3698000.0		600000.0	637.0			14369.0	7200000.0	0.0	4430000.0	5260000.0	1930000.0	10000.0	637.0	5.0
AFG001	Jun2020	4.5	2020-06-01	35700000.0	652867.0	35700000.0	35700000.0	4254000.0			12935.0			13114.0	9380000.0	0.0	26320000.0	7000000.0	2380000.0	0.0	12935.0	5.0
